file,sprite,id,kind,rarity,status,active_type,name_key,name_en,name_ko,categories,effect_ko,effect_en
Banner of Encouragement,FlagOfCheer,1140,artifact,2,active,Locked,Item_FlagOfCheer_Name,Banner of Encouragement,격려의 깃발,WINDSONG,"지정 위치에 깃발을 소환, 깃발 범위 내 아군은 공격 속도가 +10/20/30% 증가",Summon a flag at the designated location. Allies within the flag's range have their Attack Speed increased by +10/20/30%
Battle Bracelet of Lerid,Giant_s Bracelet,1279,artifact,2,active,Locked,Item_DashEvasion_Name,Battle Bracelet of Lerid,레리드의 전투 팔찌,SHADOW,0/1/1/2 대시 횟수 / +1/1/2/3 고정 피해 / +2/4/6/8% 이동 속도 / 대시 무적은 회피 성공 효과로 판정됨,0/1/1/2 Dash Count / +1/1/2/3 True Damage / +2/4/6/8% Move Speed / Dash invincibility is treated as a Evasion success effect
Battle Mage’s Gloves,BattleMageGlove,1169,artifact,2,active,Locked,Item_MagicDamageBySpeed_Name,Battle Mage’s Gloves,전투 마법사의 장갑,ACADEMY,+10/12/15/20% 마법서 피해량 / +3/4/5/6% 이동 속도,+10/12/15/20% Grimoire Damage / +3/4/5/6% Move Speed
Beast's Heart,TinBeast_sHeart,1276,artifact,3,active,Locked,Item_TinBeastHeart_Name,Beast's Heart,야수의 심장,GUARDIAN,+4/8/12/16/20 방어력 / +2/4/6/8/10% 모든 피해 증폭 / +2/2/4/4/6 행운,+4/8/12/16/20 Defense / +2/4/6/8/10% Universal Damage Boost / +2/2/4/4/6 Luck
Begonia Sachet,BegoniaSachet,1218,artifact,0,active,Default,Item_BegoniaSachet_Name,Begonia Sachet,베고니아 향 주머니,STURDY,+5/10% 일반 공격 피해,+5/10% Normal Attack Damage
Bicorn Pipe,BicornCirclet,1062,artifact,2,active,Locked,Item_BoltMagicMultiShot_Name,Bicorn Pipe,이각수 관,ACADEMY,볼트 마법을 세 갈래로 발사함. (각 마법의 피해량 +0.7/0.6/0.6/0.5/0.5//0.4/0.3% 감소) MP 소모량 0/25/50/75/100//125/150% 증가.,Fires Bolt Magic in three directions. (Each spell’s damage is reduced by +0.7/0.6/0.6/0.5/0.5//0.4/0.3%) MP cost increased by 0/25/50/75/100//125/150%.
Blessing,Skill_Icon_Bless,3031,artifact,0,active,Default,Skill_0033_Name,Blessing,축복,,스킬 축복 획득 / 모든 피해량을 5% 증가시키는 버프를 획득 / CD: 20s / MP: 16/13/10 / 지속시간: 12,Acquire Skill Blessing / Gain a buff that increases all damage dealt by 5% / CD: 20s / MP: 16/13/10 / Duration: 12
Blizzard Hammer,FrozenHammer,1208,artifact,1,active,Default,Item_IceHammer_Name,Blizzard Hammer,눈보라 망치,FROST,전투 중 7초마다 충전됨. 충전 이후 대시 시 아래 효과 발동 / 주변 적에게 망치를 날려 얼음속성 피해를 가함 / [피해량: 14 (14+얼음속성 피해+50/100/150/200/250//300/350/400/450/500%)],Recharges every 7 seconds during combat. Activates the following effect after dashing when charged. / Throw a hammer at nearby enemies to deal Cold Damage damage / [Damage: 14 (14+Cold Damage+50/100/150/200/250//300/350/400/450/500%)]
Blood of Obrus,BloodOfObrus,1171,artifact,1,active,Locked,Item_BloodofObrus_Name,Blood of Obrus,오브러스의 피,LAKE,+3/6/9/12 MP 흡수,+3/6/9/12 MP Steal
Blood Stone Ring,BloodstoneRing,1120,artifact,2,active,Default,Item_KillHeal_Name,Blood Stone Ring,혈석 반지,MYSTIC,+15/13/10회 처치 시 HP 5 회복,"Upon attaining +15/13/10 kills, recover 5 HP"
Bloodstone Earrings,BloodTear,1188,artifact,3,active,PocketDimensionShop,Item_HPSteal_Name,Bloodstone Earrings,혈석 귀걸이,,+8/8/8/8 HP 흡수 / -30/25/20/10 방어력,+8/8/8/8 Life Steal / -30/25/20/10 Defense
Blue Claw,BlueTalon,1145,artifact,3,active,Locked,Item_Freeze_Name,Blue Claw,푸른 발톱,GLACIER,+2/4/6/9 얼음속성 피해 / +5/10/15/20 최대 MP / 동상 부여 시 30/60% 확률로 1회 추가 부여,+2/4/6/9 Cold Damage / +5/10/15/20 Max MP / Frostbite has a 30/60% chance to be applied an additional time when granted.
Blue Planet,PlanetaryModels,1015,artifact,1,active,Default,Item_Planet_Blue_Name,Blue Planet,푸른 행성,PLANET,물리 탄환을 발사하는 푸른행성 소환 / [피해량: +10/14/18/22/26/30],Summons a blue planet that shoots Physical projectiles / [Damage: +10/14/18/22/26/30]
Blue Ring,BlueRing,1085,artifact,2,active,Locked,Item_IncreaseAllDamageByHP_Name,Blue Ring,푸른 고리,MYSTIC,현재 HP가 70% 이상이면 모든 피해 증폭 +6/8/10/15/18/20%,"If current HP is 70% or more, Universal Damage Boost +6/8/10/15/18/20%"
Blue Wrist Guard,BlueBohoBracelet,1221,artifact,3,active,PocketDimensionShop,Item_SpecialAttack_Name,Blue Wrist Guard,푸른 손목 보호대,STURDY,+7/14/21/28/35//42/50% 특수 공격 피해,+7/14/21/28/35//42/50% Special Attack Damage
Brass Mirror Fragment,BronzeMirrorShards2,1225,artifact,2,active,Default,Item_BrassMirrorShard_Name,Brass Mirror Fragment,황동 거울 파편,STURDY,+20/30/40/50% 특수 공격 소모 MP 감소,+20/30/40/50% Reduce MP Cost of Special Attack
Broken Mirror,BrokenMirror,1095,artifact,1,active,Locked,Item_BrokenMirror_Name,Broken Mirror,깨진 거울,GUARDIAN,+4/8 방어력 / 장소 이동 시 내구도 +5/12의 보호막 획득,+4/8 Defense / Gain Shield durability +5/12 when moving locations
Broken Root,BrokenTree,1004,artifact,2,active,Default,Item_BrokenTree_Name,Broken Root,부서진 나무뿌리,LAKE,최대 MP +5/60,Max MP +5/60
Broken Sapphire,ShatteredSapphire,1077,artifact,2,active,Default,Item_DecreaseFallingDamage_Name,Broken Sapphire,부서진 사파이어,SHADOW,+2/4/6 회피 / +2/4/6 방어력 / +16/14/12초마다 공격을 무조건 회피하는 장막 획득,+2/4/6 Evasion / +2/4/6 Defense / Gain a shroud that guarantees to Evasion every attack every +16/14/12 seconds
Bronze Mirror Fragment,BronzeMirrorShards,1056,artifact,2,active,Default,Item_PerfectBlockBuff_Name,Bronze Mirror Fragment,청동 거울 파편,STURDY,+20/30/40/50% 특수 공격 소모 MP 감소,+20/30/40/50% Reduce MP Cost of Special Attack
Bucket of Plump Berries,SpringingBucket,1273,artifact,2,active,Default,Item_MpHeal_Name,Bucket of Plump Berries,통통열매 양동이,LAKE,사용 시 MP +50/100%를 즉시 회복,Restore MP+50/100% immediately on use
Bunnyville Guard Helmet,RabbitGuardHelm,1157,artifact,2,active,Locked,Item_RabbitVillageGuardHelmet_Name,Bunnyville Guard Helmet,토끼마을 경비병 투구,STURDY,+4/8/12/16% 무기 피해량 / -4/4/8/8 회피,+4/8/12/16% Weapon Damage / -4/4/8/8 Evasion
Captivating Lure,TemptingLure,1162,artifact,1,active,Default,Item_CaptivatingLure_Name,Captivating Lure,매혹하는 루어,"LAKE, ELEMENTAL",+3/5/8 MP 재생 / +1/1/2 화염속성 피해 / +1/1/2 얼음속성 피해 / +1/1/2 번개속성 피해 / +1/1/2 물리 피해,+3/5/8 MP Regeneration / +1/1/2 Fire Damage / +1/1/2 Cold Damage / +1/1/2 Lightning Damage / +1/1/2 Physical Damage
Chalcedony Key,SapphireKey_0,1067,artifact,1,active,Default,Item_Lightning_Damage_Name,Chalcedony Key,캘세더니 열쇠,,"위치한 가로줄에 따라 견고, 잉걸불, 빙하, 마법공학 중 하나의 콤보가 부여됨 / 부여된 콤보와 관련된 속성 피해 +2/4/6/8","Gain a combo of either Sturdy, Ember, Glacier, or Magitech depending on the row you are in / Deals +2/4/6/8 elemental damage based on the granted combo."
Charm of Aspiration,AmuletOfAspiration,1083,artifact,0,active,Default,Item_IncreaseCriticalChance_NormalAttack_Name,Charm of Aspiration,열망의 부적,PRECISION,무기 공격의 치명타 확률 +3/6/10/14/20% 증가,Weapon Attack Critical Chance increases by +3/6/10/14/20%
Charm of Intelligence,CharmOfIntelligence,1002,artifact,0,active,Default,Item_CharmOfIntelligence_Name,Charm of Intelligence,명석함의 부적,GLACIER,+3/4/6/8 얼음속성 피해,+3/4/6/8 Cold Damage
Charm of Lightning,CharmOfLightning,1272,artifact,0,active,Default,Item_CharmOfLightning_Name,Charm of Lightning,전격의 부적,MAGITECH,+3/4/6/8 번개속성 피해,+3/4/6/8 Lightning Damage
Charm of Skill,CharmOfDexterity,1001,artifact,0,active,Default,Item_CharmOfDexterity_Name,Charm of Skill,재주의 부적,SHADOW,+3/6 회피,+3/6 Evasion
Charm of Strength,CharmOfStrength,1000,artifact,0,active,Default,Item_CharmOfStrength_Name,Charm of Strength,힘의 부적,STURDY,+2/3/4/6 물리 피해,+2/3/4/6 Physical Damage
Cintamani Stone,Cintamani,1146,artifact,3,active,Locked,Item_Chintamani_Name,Cintamani Stone,친타마니 돌,MYSTIC,죽음에 이르는 피해를 받으면 아이템이 파괴되며 다음 효과가 발동됨 / HP 50% 회복 후 잠깐 동안 무적 / 부서진 곳의 인벤토리 칸 레벨 +3,"When receiving fatal damage, this item is destroyed and the following effects are activated / Recover 50% HP and become momentarily invincible / Inventory slot level: +3"
Clear Cube,ClearCube,1189,artifact,2,active,Default,Item_TrueDamage_Name,Clear Cube,무색 큐브,WINDSONG,+1/1/2/2/3 고정 피해 / +5/6/7/9/12% 이동 속도 / +5/6/7/9/12% 공격 속도,+1/1/2/2/3 True Damage / +5/6/7/9/12% Move Speed / +5/6/7/9/12% Attack Speed
Cloak of Verdant Spirit,SnowwhiteCape_Wind,1252,artifact,1,active,Default,Item_EvDash_Name,Cloak of Verdant Spirit,환록의 망토,SHADOW,0/1/1 대시 횟수 / +4/6/8 회피 / +1/2/4% 치명타 확률,0/1/1 Dash Count / +4/6/8 Evasion / +1/2/4% Critical Chance
Cloth Armor,ClothArmor,1215,artifact,0,active,Default,Item_ClothArmor_Name,Cloth Armor,천 갑옷,GUARDIAN,+3/6/9/12 방어력,+3/6/9/12 Defense
Cloud Bottle,LightningBottle,1035,artifact,1,active,Default,Item_LightningPouch_Name,Cloud Bottle,구름 병,DARKCLOUD,+5/10/15/20/25/30% 먹구름의 소모 속도 / 대시 공격 성공 시 먹구름 +1/2/3/5/7/10 획득 (재사용 대기시간 +3.5초),+5/10/15/20/25/30% Consumption Speed of Storm Cloud / A successful Dash attack grants +1/2/3/5/7/10 Storm Cloud (Cooldown: +3.5 seconds)
Cloud Seed Arrowhead,CloudSeedArrowheads,1129,artifact,1,active,Default,Item_BasicLightning_Name,Cloud Seed Arrowhead,구름씨 화살촉,DARKCLOUD,먹구름의 벼락이 5/10/15/23/35/50% 확률로 강화되어 발사됨,5/10/15/23/35/50% chance for enhanced Storm Cloud lightning bolts
Cold Lock,MysteryLock,1027,artifact,1,active,Default,Item_ColdLock_Name,Cold Lock,차가운 자물쇠,,+8/12/16/20/25% 모든 피해 증폭,+8/12/16/20/25% Universal Damage Boost
Companion Token 'Aiba',DuckSymbol,5004,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Aiba_Name,Companion Token 'Aiba',동행 증표 '아이바',,,
Companion Token 'Isaac',DuckSymbol,5001,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Isaac_Name,Companion Token 'Isaac',동행 증표 '아이작',,,
Companion Token 'Kenny',DuckSymbol,5005,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Kenney_Name,Companion Token 'Kenny',동행 증표 '케니',,,
Companion Token 'Khakha',DuckSymbol,5002,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Kaka_Name,Companion Token 'Khakha',동행 증표 '카카',,,
Companion Token 'Maru',DuckSymbol,5003,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Maru_Name,Companion Token 'Maru',동행 증표 '마루',,,
Companion Token 'Pillix',DuckSymbol,5006,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Pillix_Name,Companion Token 'Pillix',동행 증표 '필릭스',,,
Companion Token 'Rolf',DuckSymbol,5007,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Rolf_Name,Companion Token 'Rolf',동행 증표 '롤프',,,
Companion Token 'Thunder',DuckSymbol,5008,artifact,2,active,Hidden,Item_ScenarioCompanion_Chapter4_Fox_Thunder_Name,Companion Token 'Thunder',동행 증표 '썬더',,,
Compression Bandage,CompressionBandages,1082,artifact,0,active,Default,Item_IncreaseDashRecoverySpeed_UseMana_Name,Compression Bandage,압박 밴드,WINDSONG,+10/15/30/50/80% 대시 회복 속도,+10/15/30/50/80% Dash Recovery Speed
Counterattack Bracelet,PerfectGuardBrace,1287,artifact,1,active,Default,Item_PerfectGuardStaff_Name,Counterattack Bracelet,반격의 팔찌,STURDY,"퍼펙트 가드 시, 7초간 모든 피해 증폭 +4/8/12/16% 증가","On Perfect guard, increase Universal Damage Boost by +4/8/12/16% for 7s"
Crabapple Fruit,CrabappleFruit,1161,artifact,1,active,Locked,Item_CrabappleFruit_Name,Crabapple Fruit,아그배나무 열매,ACADEMY,+6/10/14 마법서 가속 / +5/8/12% 대시 회복 속도,+6/10/14 Grimoire Haste / +5/8/12% Dash Recovery Speed
Crimson Sunset,SnowwhiteCape_Fire,1230,artifact,2,active,Default,Item_FlameSwordDamage_Name,Crimson Sunset,물드는 노을 망토,FLAMESWORD,태양검 투척 시 20/40/60/80/100% 확률로 크기가 커지고 피해량이 33% 증가,Solar Blade has a 20/40/60/80/100% chance to grow in size and increase damage by 33% when thrown
Crossbow Quiver,BoltCase,1223,artifact,1,active,Default,Item_CrossbowReload_Name,Crossbow Quiver,석궁 화살통,STURDY,+20/40/65/100 석궁 재장전 속도,+20/40/65/100 Crossbow Reload Speed
Crown of Humility,CrownOfHumility(1),1080,artifact,3,active,Default,Item_IncreaseLastAttackDamage_SwordAndShield_Name,Crown of Humility,겸손의 왕관,STURDY,일반 공격 마지막 연격의 피해량 +10/22/40/60/84% 증가,The last hit of the combo deals +10/22/40/60/84% increased damage
Crystal of Harmony,CrystalOfHarmony,1270,artifact,3,active,Default,Item_NearLevelDamage_Name,Crystal of Harmony,조화의 수정,MYSTIC,근처 8칸 아티팩트 레벨 1당 모든 피해 증폭 +1/2% 증가,Increase Universal Damage Boost by +1/2% per Artifact Level within 8 slots
Cursed Letter,ActivateChaotic,1310,artifact,1,active,WitchHat,Item_MiniThorns_Name,Cursed Letter,저주받은 편지,,+50/100/200% 가시 / -6/5/4% 공격 속도,+50/100/200% Thorns / -6/5/4% Attack Speed
Dark Planet,PlanetaryModels_Black,1241,artifact,3,active,Default,Item_Planet_Black_Name,Dark Planet,암흑 행성,PLANET,혼돈 탄환을 발사하는 암흑 행성 소환 / [피해량: +50/60/70/80/90/100],Summon a dark planet that fires Chaos bullets / [Damage: +50/60/70/80/90/100]
Devotion Insignia,ChaosPuritySeal,1264,artifact,1,active,Locked,Item_CompanionChaos_Name,Devotion Insignia,헌신의 휘장,COMPANION,+6/12/18/24 동료들의 방어력 / 인벤토리 내 동일 가로줄에 배치된 동료가 혼돈 피해를 가함,+6/12/18/24 Companion Defense / Companion placed in the same Row of the Inventory deal Chaos damage
Diamond Badge,Key_Dia,1299,artifact,1,active,WitchHat,Item_KeyGlacier_Name,Diamond Badge,다이아몬드 배지,,+2/4/6/8/10% 무기 피해량 / +2/3/4/5/6 얼음속성 피해,+2/4/6/8/10% Weapon Damage / +2/3/4/5/6 Cold Damage
Discarded Golden Ring,AbandonedGoldRing,1111,artifact,1,active,Default,Item_SweepRange_Name,Discarded Golden Ring,버려진 금반지,STURDY,특수 공격 범위 +10/20/30% / 특수 공격으로 적을 40명 처치 시 절대반지로 변함,Special Attack Range +10/20/30% / Defeat 40 enemies with Special Attack to transform into Absolute Ring
Dragoncense,Ambergris,1100,artifact,1,active,Default,Item_FireDamage_Name,Dragoncense,용연향,EMBER,+2/4/6/8/10 화염속성 피해,+2/4/6/8/10 Fire Damage
Dried Flower,ManaDryFlower,1023,artifact,0,active,Default,Item_Dryflower_Name,Dried Flower,말라버린 꽃,LAKE,+2/4/6% 치명타 확률 / +2/4/6 최대 MP,+2/4/6% Critical Chance / +2/4/6 Max MP
Droplet of Plitvice,PlitviceWaterDrop,1248,artifact,2,active,Locked,Item_FrostMP_Name,Droplet of Plitvice,플리트비체의 물방울,"FROST, LAKE","얼음 무구 발동 시, MP를 4 소모하여 회전하는 얼음검 소환 (최대 5개) / [피해량: 기본 공격력 x 추가 MP의 50% 만큼 피해 (현재: 1.2)] / 기본 공격력: 얼음속성 피해의 6%","When Frost Relic is activated, consume 4 MP to summon rotating ice swords (up to 5). / [Damage: Basic attack damage x 50% of Additional MP (Current: 1.2)] / Basic attack damage: 6% of Cold Damage"
Dull Bell,BluntBellKnife,1021,artifact,2,active,Locked,Item_BluntBellKnife_Name,Dull Bell,무뎌진 방울,CURSE,무기 공격 시 1/4% 확률로 기절 부여,"On Weapon Attack, has a 1/4% chance to inflict Stun"
Ebony Scale,BlackScales,1091,artifact,3,active,Locked,Item_CriticalChanceIncreaseWithTablets_Name,Ebony Scale,검은 비늘,PRECISION,인벤토리 내 석판 개수만큼 치명타 확률 +100/150/200/250/350% 증가 / 현재 석판 개수 : 0개,Increases Critical Chance by +100/150/200/250/350% for every tablet in your inventory / Current number of tablets: 0
Echo of the Glacier,EchoOfTheGlacier,1178,artifact,1,active,Default,Item_EchoOfTheGlacier_Name,Echo of the Glacier,빙하의 메아리,GLACIER,+3/6/10 방어력 / +5/4/3/2.5초마다 주변 적에게 동상 부여,+3/6/10 Defense / Inflict Frostbite on nearby enemies every +5/4/3/2.5 seconds
Elastic Band,ElasticBand,1285,artifact,1,active,Locked,Item_EvasionRestore_Name,Elastic Band,탄성 밴드,SHADOW,+2/4/6/8% 치명타 피해 / +1/2/3/4 회피 / 회피 발동 시 대시 횟수 +1/1/2 회복,+2/4/6/8% Critical Damage / +1/2/3/4 Evasion / Recover Dash Count by +1/1/2 when Evasion activates
Electro Chakram,LightningCharkram,1013,artifact,1,active,Default,Item_Chakram_Name,Electro Chakram,전격 차크람,MAGITECH,주기적으로 주변을 공격하는 차크람 +1/2/2/3/3//4/4개 발사 / [피해량: +50/50/80/80/110 (번개속성 피해+50/50/80/80/110%)] / 차크람 적중 시 +10/10/10/10/30% 확률로 감전 부여,"Launch +1/2/2/3/3//4/4 chakrams that periodically attack nearby enemies / [Damage: +50/50/80/80/110 (Lightning Damage+50/50/80/80/110%)] / On Chakram hit, inflict Electrocution with a +10/10/10/10/30% chance."
Empty Hilt,EmptySwordHilt,1075,artifact,3,active,Locked,Item_GoldIsDamage_Name,Empty Hilt,비어 있는 검 손잡이,ACADEMY,+5/10/15/20/25/30% 마법서 피해량 / +7/9/11/13/15/20% 최종 MP / +2/2/2/4/4/6 MP 재생,+5/10/15/20/25/30% Grimoire Damage / +7/9/11/13/15/20% Final MP / +2/2/2/4/4/6 MP Regeneration
Endoditte’s Paperweight,Endodit'sPaperweight,1031,artifact,0,active,Default,Item_MovingCast_Name,Endoditte’s Paperweight,엔도디트의 문진,LAKE,+3/6/9 MP 재생 / +3/6/9 최대 MP,+3/6/9 MP Regeneration / +3/6/9 Max MP
Enhancement Potion Cap,EnhancedPotionCork,1158,artifact,0,active,Locked,Item_EnhancementPotionCap_Name,Enhancement Potion Cap,강화 포션 뚜껑,ALCHEMY,현재 HP가 30% 이하일 때 HP 포션 효과가 +30% 증가,"If HP is at or below 30%, HP Potion Bonus increases by +30%"
Eternal Eclipse,SolarLunar0,1259,artifact,2,active,Locked,Item_FireIceWeapon_Name,Eternal Eclipse,영원의 식,"FLAMESWORD, FROST","+6/13/21/30% 얼음 무구의 피해량 / +6/13/21/30% 태양검 피해량 / 얼음 무구의 공격으로도 태양검이 발동됨 / 아이템이 인벤토리 왼편에 있다면 얼음 무구 아티팩트가 화염속성 피해 기반으로 변경되고, 오른편에 있다면 태양검 아티팩트가 얼음속성 피해 기반으로 변경됨","+6/13/21/30% Frost Relic damage / +6/13/21/30% Solar Blade Damage / Solar Blade activates even with Frost Relic attack / If the item is on the left side of the inventory, the Frost Relic artifact is converted to be based on Fire Damage, and if on the right side, the Solar Blade artifact is converted to be based on Cold Damage"
Eternal Furnace,SunFurnace,1231,artifact,0,active,Default,Item_FlameSwordAuto_Name,Eternal Furnace,영원의 화로,FLAMESWORD,+1/2.5/5% 치명타 확률 / +10/8/5 초마다 태양검 1개 생성 (태양검 효과 활성화 시에만),+1/2.5/5% Critical Chance / Create 1 Solar Blade every +10/8/5 seconds (only when Solar Blade effect is active)
Eternal Winter,SwordInIce,1268,artifact,2,active,Locked,Item_FreezeNormal_Name,Eternal Winter,영원한 겨울,"GLACIER, STURDY","일반 공격 적중 시, +80/120/180% 확률로 추가 피해를 가함. / [피해량 : 물리 피해 +40/75/125% + 얼음속성 피해 +80/150/250% (일반 공격 피해로 간주됨)]","When Normal Attack hits, deal additional damage with a +80/120/180% chance. / [Damage: Physical Damage +40/75/125% + Cold Damage +80/150/250% (considered as Normal Attack damage)]"
Faultfinder Needle,FaultfinderNeedle,1274,artifact,2,active,Locked,Item_FaultfinderNeedle_Name,Faultfinder Needle,결함 탐침봉,PRECISION,+3/6/9/12/15//18/21% 치명타 확률,+3/6/9/12/15//18/21% Critical Chance
Feet of the Ice Gull,FrozenMemory,1180,artifact,2,active,Default,Item_FrozenMemory_Name,Feet of the Ice Gull,얼음갈매기의 발,GLACIER,대상에게 동상을 입힐 때마다 얼음 손길 버프를 획득 / 얼음 손길 : 7초 동안 얼음속성 피해 1 증가 (최대 +5/10/15/20 중첩),Gain the Frozen Touch buff whenever inflicting Frostbite on a target / Frozen Touch: Increases Cold Damage by 1 for 7 seconds (up to +5/10/15/20 stacks)
Fire Arrow,Skill_Icon_FireArrow,3012,artifact,1,active,Locked,Skill_0020_Name,Fire Arrow,파이어 애로우,EMBER,스킬 파이어 애로우 획득 / 적을 관통하는 화살을 발사 / CD: 9s / MP: 15/17/19 / 피해량: 18/20/22 + 화염속성 피해 120/240/360% / 화상 중첩: 2,Acquire Skill Fire Arrow / Fires an arrow that pierces enemies / CD: 9s / MP: 15/17/19 / Damage: 18/20/22 + Fire Damage 120/240/360% / Burn stacks: 2
Fire Bolt,Skill_Icon_Firebolt,3002,artifact,0,active,Locked,Skill_0006_Name,Fire Bolt,파이어 볼트,EMBER,스킬 파이어 볼트 획득 / 작은 화염 투사체를 생성하여 던짐 / CD: 1s / MP: 2 / 피해량: 25/28 + 화염속성 피해 50/80%,Acquire Skill Fire Bolt / Hurls a small flame projectile / CD: 1s / MP: 2 / Damage: 25/28 + Fire Damage 50/80%
