file,sprite,variant,name_key,name_en,name_ko
Duck,Ghost_Duck,,Costume_Duck_Name,Duck,오리
Eagle,12_Bird,,Costume_Bird_Name,Eagle,독수리
Eagle (Alt),Bird_Alt,alt appearance,Costume_Bird_Name,Eagle,독수리
Elephant,Bird_Elephant,,Costume_Bird_Elephant_Name,Elephant,코끼리
Fairy of Fortune,12_Luck,,Costume_Luck_Name,Fairy of Fortune,행운의 요정
Fairy of Fortune (Alt),Luck_Alt,alt appearance,Costume_Luck_Name,Fairy of Fortune,행운의 요정
Fairy of Fortune (Rabbit),Luck_Rabbit,,Costume_Luck_Name,Fairy of Fortune,행운의 요정
Farmer Sheep,MandarinRabbit_Sheep,,Costume_MandarinRabbit_Sheep_Name,Farmer Sheep,농부 양
Farmer Squirrel,12_Squirrel,,Costume_Squirrel_Name,Farmer Squirrel,농부 다람쥐
Farmer Squirrel (Alt),Squirrel_Alt,alt appearance,Costume_Squirrel_Name,Farmer Squirrel,농부 다람쥐
Forest Cat,100_ForestCat,,Costume_ForestCat_Name,Forest Cat,숲 고양이
Forest Cat (Alt),ForestCat_Alt,alt appearance,Costume_ForestCat_Name,Forest Cat,숲 고양이
Forest Scout,DarkBrownRabbit_Dog,,Costume_BraidedRabbit_Dog_Name,Forest Scout,숲의 정찰자
Frog,10_Frog,,Costume_Frog_Name,Frog,개구리
Frog (Alt),Frog_Alt,alt appearance,Costume_Frog_Name,Frog,개구리
Ghost,100_Ghost,,Costume_Ghost_Name,Ghost,유령
Ghost (Alt),Ghost_Alt,alt appearance,Costume_Ghost_Name,Ghost,유령
Guide,Turtle_Dog,,Costume_Turtle_Dog_Name,Guide,인도자
Jester Rat,Deer_MouseJester,,Costume_Deer_Jester_Name,Jester Rat,광대 쥐
Knight Mouse,ArmoredRabbit_Mouse,,Costume_ArmoredRabbit_Mouse_Name,Knight Mouse,기사 쥐
Lightning Lizard,Frog_Lizard,,Costume_Frog_Lizard_Name,Lightning Lizard,번개 도마뱀
Maned Cat,Squirrel_Lion,,Costume_Squirrel_Lion_Name,Maned Cat,갈기 고양이
Mole,10_Mole,,Costume_Mole_Name,Mole,두더지
Mole (Alt),Mole_Alt,alt appearance,Costume_Mole_Name,Mole,두더지
Mole King,Mole_King,,Costume_Mole_King_Name,Mole King,두더지 왕
Oink the Wanderer,Skeleton_Oink,,Costume_Skeleton_Oink_Name,Oink the Wanderer,떠돌이 오잉크
Orange Rabbit,0_MandarinRabbit,,Costume_MandarinRabbit_Name,Orange Rabbit,주황색 토끼
Orange Rabbit (Alt),MandarinRabbit_Alt,alt appearance,Costume_MandarinRabbit_Name,Orange Rabbit,주황색 토끼
Otter,10_Otter,,Costume_Otter_Name,Otter,수달
Otter (Alt),Otter_Alt,alt appearance,Costume_Otter_Name,Otter,수달
Pale Knight,Crocodile_Larsly,,Costume_Crocodile_Larsly_Name,Pale Knight,창백한 기사
Parrot,ForestCat_Parrot,,Costume_ForestCat_Parrot_Name,Parrot,앵무새
Pink Bunny,-_PinkRabbit,,Costume_PinkRabbit_Name,Pink Bunny,분홍 토끼
Pink Bunny (Alt),PinkRabbit_Alt,alt appearance,Costume_PinkRabbit_Name,Pink Bunny,분홍 토끼
Rabbit Wearing a Conical Hat,Otter_Rabbit,,Costume_Otter_Rabbit_Name,Rabbit Wearing a Conical Hat,삿갓 쓴 토끼
Red Fox,10_Fox,,Costume_Fox_Name,Red Fox,붉은 여우
Red Fox (Alt),Fox_Alt,alt appearance,Costume_Fox_Name,Red Fox,붉은 여우
Red-Clothed Cat,10_FireCat,,Costume_FireCat_Name,Red-Clothed Cat,붉은 옷 고양이
Red-Clothed Cat (Alt),FireCat_Alt,alt appearance,Costume_FireCat_Name,Red-Clothed Cat,붉은 옷 고양이
Red-Hooded Rabbit,0_RedHolyRabbit,,Costume_RedHolyRabbit_Name,Red-Hooded Rabbit,빨간망토 토끼
Scholar Lizard,100_Seren,,Costume_Seren_Name,Scholar Lizard,학자 도마뱀
Scholar Lizard (Alt),Seren_Alt,alt appearance,Costume_Seren_Name,Scholar Lizard,학자 도마뱀
Scholar Pig,Seren_Pig,,Costume_Seren_Pig_Name,Scholar Pig,학자 돼지
Skeleton,11_Skeleton,,Costume_Skeleton_Name,Skeleton,스켈레톤
Striped Cat,BrownRabbit_Cat,,Costume_BrownRabbit_Cat_Name,Striped Cat,줄무늬 고양이
Three-Tailed Fox,Fox_Three,,Costume_Fox_Three_Name,Three-Tailed Fox,삼미호
Turncoat,WhiteRabbit_Mouse,,Costume_WhiteRabbit_Mouse_Name,Turncoat,변절자
Turtle,13_Turtle,,Costume_Turtle_Name,Turtle,거북이
Turtle (Alt),Turtle_Alt,alt appearance,Costume_Turtle_Name,Turtle,거북이
White Rabbit,0_WhiteRabbit,,Costume_WhiteRabbit_Name,White Rabbit,흰색 토끼
White Rabbit (WhiteWolf),WhiteWolf_Rabbit,,Costume_WhiteWolf_Rabbit_Name,White Rabbit,하얀 토끼
White Wolf,10_WhiteWolf,,Costume_WhiteWolf_Name,White Wolf,하얀 늑대
Wing-Eared Rabbit,5_HolyRabbit,,Costume_HolyRabbit_Name,Wing-Eared Rabbit,날개 귀 토끼
Wing-Eared Rabbit (Alt),HolyRabbit_Alt,alt appearance,Costume_HolyRabbit_Name,Wing-Eared Rabbit,날개 귀 토끼
Wing-Eared Rabbit (White),HolyRabbit_White,,Costume_HolyRabbit_Name,Wing-Eared Rabbit,날개 귀 토끼
Wingless Bat,11_Bat,,Costume_Bat_Name,Wingless Bat,날개 잃은 박쥐
Wingless Bat (Alt),Bat_Alt,alt appearance,Costume_Bat_Name,Wingless Bat,날개 잃은 박쥐
Wizard Bunny,10_WizardRabbit,,Costume_WizardRabbit_Name,Wizard Bunny,마법사 토끼
Wizard Bunny (Alt),WizardRabbit_Alt,alt appearance,Costume_WizardRabbit_Name,Wizard Bunny,마법사 토끼
